logging_policy_name,n_rounds,target_policy_true_value,naive_estimate,naive_error,ips_estimate,ips_error
pi_1,1000,0.49234,0.05,0.4423,0.001,0.4913
pi_1,2000,0.49123,0.0571,0.4341,0.001,0.4902
pi_1,3000,0.49138666666666664,0.0182,0.4732,0.0003,0.4911
pi_1,4000,0.489165,0.0449,0.4442,0.001,0.4882
pi_1,5000,0.488788,0.0094,0.4794,0.0002,0.4886
pi_1,6000,0.48834,0.0157,0.4726,0.0003,0.488
pi_1,7000,0.49137714285714285,0.0211,0.4703,0.0004,0.4909
pi_1,8000,0.49330250000000003,0.0182,0.4751,0.0004,0.4929
pi_1,9000,0.4930666666666667,0.0286,0.4645,0.0006,0.4925
pi_1,10000,0.493496,0.0105,0.483,0.0002,0.4933
pi_1,11000,0.49348363636363635,0.0327,0.4608,0.0006,0.4928
pi_1,12000,0.493495,0.0215,0.472,0.0004,0.4931
pi_1,13000,0.49399846153846155,0.0199,0.4741,0.0004,0.4936
pi_1,14000,0.4936257142857143,0.0218,0.4718,0.0004,0.4932
pi_1,15000,0.493196,0.0135,0.4797,0.0003,0.4929
pi_1,16000,0.49313125,0.0096,0.4835,0.0002,0.4929
pi_1,17000,0.49353764705882347,0.0274,0.4661,0.0005,0.493
pi_1,18000,0.49211555555555553,0.0197,0.4724,0.0004,0.4917
pi_1,19000,0.4920842105263158,0.0239,0.4682,0.0005,0.4916
pi_2,1000,0.49234,0.0526,0.4397,0.002,0.4903
pi_2,2000,0.49123,0.0556,0.4357,0.002,0.4892
pi_2,3000,0.49138666666666664,0.0192,0.4722,0.0007,0.4907
pi_2,4000,0.489165,0.05,0.4392,0.002,0.4872
pi_2,5000,0.488788,0.0225,0.4663,0.0008,0.488
pi_2,6000,0.48834,0.0536,0.4348,0.002,0.4863
pi_2,7000,0.49137714285714285,0.0159,0.4755,0.0006,0.4908
pi_2,8000,0.49330250000000003,0.0274,0.4659,0.001,0.4923
pi_2,9000,0.4930666666666667,0.0185,0.4745,0.0007,0.4924
pi_2,10000,0.493496,0.0339,0.4596,0.0012,0.4923
pi_2,11000,0.49348363636363635,0.0255,0.468,0.0009,0.4926
pi_2,12000,0.493495,0.0332,0.4603,0.0012,0.4923
pi_2,13000,0.49399846153846155,0.0345,0.4595,0.0012,0.4928
